#{"t_start": 1727522183.255062, "env_id": "BipedalWalker-v3"}
r,l,t
-56.355306,1600,317.275263
-96.947351,295,317.357843
-98.359579,285,317.715134
-40.641701,1600,318.256064
-95.600418,271,318.612904
-141.603258,1600,319.140288
-44.010943,1600,319.97414
-109.49573,653,320.166156
-94.368556,256,320.519184
-41.914623,1600,321.063361
-69.853416,1600,321.894203
-50.130435,1600,322.744501
-56.65866,1600,323.535149
-95.441491,1600,324.05486
-52.04596,1600,324.939373
-96.409165,279,325.022035
-95.129993,269,325.397481
-43.009433,1600,325.972395
-116.862515,662,326.446729
-101.46463,504,326.626788
-41.802298,1600,327.415218
-57.700915,1600,327.921454
-73.18472,1600,328.731562
-59.409328,1600,329.509669
-94.967426,256,329.592259
-112.575363,1019,330.172198
-49.541807,1600,330.716325
-44.400747,1600,331.527045
-51.393282,1600,332.338798
-113.760857,337,332.445271
-126.238974,1289,333.11116
-139.205966,378,333.245954
-43.341105,1600,334.042096
-49.557949,1600,334.555523
-109.697756,603,335.02824
-55.123818,1600,335.801182
-43.899881,1600,336.341937
-83.520232,362,336.71004
-94.857576,287,336.811222
-96.641238,291,336.916812
-105.046606,521,337.091111
-57.609021,1600,337.871321
-52.101153,1600,338.643362
-42.603862,1600,339.155899
-101.321314,355,339.534136
-96.445951,297,339.64019
-92.816395,242,339.729095
-47.400634,1600,340.515734
-99.603475,338,340.637771
-53.597332,1600,341.410352
-67.167611,1600,341.956955
-97.362282,275,342.038159
-63.268897,1600,342.852182
-62.808072,1600,343.650622
-63.017424,1600,344.489948
-91.453067,1600,345.275411
-96.689206,282,345.379369
-68.922729,1600,346.172828
-72.054497,1600,346.702893
-98.441818,290,346.789508
-95.003035,254,347.143404
-94.334854,270,347.241598
-49.770966,1600,347.765762
-52.637047,1600,348.59074
-114.262037,1111,349.22843
-93.257702,225,349.308611
-71.417195,1600,350.080997
-78.605994,1600,350.595882
-63.636642,1600,351.414478
-51.344692,1600,352.240117
-69.973542,1600,353.019226
-96.253476,263,353.114495
-47.020237,1600,353.937599
-40.377013,1600,354.729722
-54.709263,1600,355.296836
-53.189477,1600,356.095476
-96.137709,260,356.178077
-52.488673,1600,357.024019
-67.314253,1600,357.803449
-58.91086,1600,358.587227
-57.342717,1600,359.153397
-51.880621,1600,359.977659
-118.716392,299,360.0714
-119.620557,1600,360.941313
-55.13177,1600,361.768288
-106.121956,1071,362.115568
-67.56587,1600,362.927511
-49.026835,1600,363.761319
-57.148255,1600,364.560928
-45.059294,1600,365.08474
-69.126157,1600,365.890763
-56.403608,1600,366.696774
-70.731814,1600,367.487865
-70.602116,1600,368.266048
-68.899371,1600,368.798633
-51.960858,1600,369.608697
-101.060815,1600,370.405291
-98.868371,293,370.503767
-70.313057,1600,371.302037
-72.248485,1600,372.084127
-44.983201,1600,372.637435
-73.630997,1600,373.447407
-91.252048,558,373.612693
-70.509963,1600,374.424761
-40.249342,1600,375.284136
-85.004423,351,375.39225
-40.903967,1600,376.195063
-95.887093,272,376.290047
-71.931262,1600,377.130377
-64.125899,1600,377.905027
-96.303347,314,378.022394
-39.609434,1600,378.823981
-67.295319,1600,379.339742
-57.560989,1600,380.136389
-83.701888,1600,380.917815
-144.809137,1600,381.690086
-49.178714,1600,382.488767
-34.173071,1600,383.058582
-60.528302,1600,383.84136
-37.238461,1600,384.655239
-120.974825,84,384.684697
-96.454726,288,384.778546
-124.251033,116,384.814536
-38.166658,1600,385.627792
-93.562463,244,385.707619
-35.608634,1600,386.501253
-31.077353,1600,387.299224
-30.100476,1600,387.843378
-30.16584,1600,388.667962
-48.883765,1600,389.432701
-62.810393,1600,390.192767
-45.409807,1600,390.717753
-97.02816,316,391.090249
-38.215005,1600,391.635086
