#{"t_start": 1727524353.952538, "env_id": "BipedalWalker-v3"}
r,l,t
-9.970366,1600,653.39582
-103.847556,702,654.362832
-10.537783,1600,655.25578
-20.00595,1600,656.752245
-11.964736,1600,659.046054
-18.533533,1600,661.562726
-15.919823,1600,662.967484
-12.495078,1600,663.784905
-13.954149,1600,664.948096
-15.551729,1600,666.005749
-19.066451,1600,667.042557
-84.436727,1600,667.70017
-18.726384,1600,669.019495
-87.473199,1600,670.299535
-17.161737,1600,671.871924
-35.608731,1600,673.210444
-35.968657,1600,674.019606
-36.44821,1600,675.113089
-19.542894,1600,676.186282
-33.87137,1600,677.194094
-37.369088,1600,677.872406
-35.374314,1600,678.936702
-18.366215,1600,680.048058
-31.660849,1600,681.077899
-16.034722,1600,682.156097
-24.498657,1600,682.897247
-81.841028,1600,683.94993
-17.721252,1600,685.067938
-26.335622,1600,686.190687
-31.858757,1600,687.230313
-29.492499,1600,687.983836
-29.038404,1600,689.14467
-17.566479,1600,690.261971
-18.470033,1600,691.313357
-119.815805,1394,691.964669
-24.846357,1600,693.052236
-119.056799,805,693.363837
-42.037008,1600,694.447726
-35.013207,1600,695.505779
-107.187626,554,695.732575
-98.220808,345,695.865776
-101.507127,453,696.453719
-33.406973,1600,697.128825
-34.039446,1600,698.186508
-31.815049,1600,699.24452
-32.772037,1600,700.285638
-96.65681,324,700.433583
-49.789372,1600,701.462275
-30.074337,1600,702.575037
-33.545781,1600,703.298555
-26.231586,1600,704.444365
-18.945297,1600,705.556714
-41.895501,1600,706.568604
-105.197044,525,706.833334
-38.756363,1600,707.876726
-33.802886,1600,708.553107
-48.146337,1600,709.6484
-108.943128,661,710.288077
-116.156751,1142,710.833282
